pitch_type,player_name,batter,description,hit_speed,hit_angle
SL,Homer Bailey,592273,"In play, run(s)",93.1,14.9
KC,Homer Bailey,592273,Ball,null,null
CH,Homer Bailey,594838,Foul Tip,null,null
SL,Homer Bailey,594838,Ball,null,null
CH,Homer Bailey,594838,Foul,null,null
CH,Homer Bailey,594838,Ball,null,null
FF,Homer Bailey,594838,Ball,null,null
FF,Homer Bailey,594838,"In play, no out",99.9,10.19
CH,Homer Bailey,571875,Ball,null,null
FF,Homer Bailey,571875,Called Strike,null,null
FF,Homer Bailey,571875,"In play, run(s)",105.4,-2.04
FF,Homer Bailey,571875,Ball,null,null
FF,Homer Bailey,571875,Ball,null,null
CH,Homer Bailey,572041,"In play, no out",96.2,10.63
SL,Homer Bailey,572041,Ball,null,null
FF,Homer Bailey,456078,Foul,null,null
SL,Homer Bailey,456078,"In play, run(s)",93,-13.99
SL,Homer Bailey,456078,Called Strike,null,null
CH,Homer Bailey,572008,Foul,null,null
SL,Homer Bailey,572008,Foul,null,null
SL,Homer Bailey,572008,"In play, out(s)",null,null
FF,Homer Bailey,572008,Ball,null,null
CH,Homer Bailey,572008,Called Strike,null,null
FF,Homer Bailey,572008,Foul,null,null
KC,Homer Bailey,572008,Foul,null,null
CH,Homer Bailey,572008,Foul,null,null
SL,Homer Bailey,430001,"In play, run(s)",86.2,-4.76
FF,Homer Bailey,456422,Swinging Strike,null,null
CH,Homer Bailey,456422,Foul,null,null
CH,Homer Bailey,456422,Ball,null,null
CH,Homer Bailey,456422,Ball,null,null
SL,Homer Bailey,456422,Ball,null,null
FT,Homer Bailey,456422,Foul (Runner Going),null,null
CH,Homer Bailey,456422,"In play, no out",98.4,-3.04
FF,Homer Bailey,400284,"In play, no out",95.7,6.39
CH,Homer Bailey,608369,"In play, no out",99.5,0.2
CH,Homer Bailey,608369,Foul,null,null
FF,Homer Bailey,408236,"In play, run(s)",104.4,28.98
SL,Homer Bailey,518735,Ball,null,null
CH,Homer Bailey,518735,Swinging Strike,null,null
SL,Homer Bailey,518735,"In play, out(s)",106.9,17.46
FT,Homer Bailey,518735,Called Strike,null,null
CH,Homer Bailey,592626,Ball,null,null
FT,Homer Bailey,592626,Foul,null,null
FT,Homer Bailey,592626,Ball,null,null
FF,Homer Bailey,592626,Ball,null,null
SL,Homer Bailey,592626,Ball,null,null
FT,Homer Bailey,435062,"In play, no out",106.1,11.99
FF,Homer Bailey,592808,Ball,null,null
SL,Homer Bailey,592808,Foul,null,null
FT,Homer Bailey,592808,Foul,null,null
SL,Homer Bailey,592808,Foul,null,null
FF,Homer Bailey,592808,Ball,null,null
FF,Homer Bailey,592808,Swinging Strike,null,null
FT,Homer Bailey,592808,Foul,null,null
KC,Homer Bailey,592808,Foul,null,null
SL,Homer Bailey,592808,Foul,null,null
FT,Homer Bailey,592808,Foul,null,null
FF,Homer Bailey,592808,Foul,null,null
CH,Homer Bailey,592808,"In play, run(s)",86.2,41.33
KC,Homer Bailey,574847,Ball,null,null
FF,Homer Bailey,574847,Foul,null,null
CH,Homer Bailey,574847,Ball In Dirt,null,null
SL,Homer Bailey,574847,Called Strike,null,null
SL,Homer Bailey,574847,Swinging Strike,null,null
SL,Homer Bailey,574847,"In play, out(s)",89.4,8.56
CH,Homer Bailey,431148,"In play, no out",69.7,19.02
CH,Homer Bailey,431148,Called Strike,null,null
CH,Homer Bailey,400284,Called Strike,null,null
SL,Homer Bailey,400284,"In play, out(s)",null,null
KC,Homer Bailey,400284,Ball In Dirt,null,null
CH,Homer Bailey,608369,"In play, no out",107.6,-1.01
CH,Homer Bailey,608369,Ball In Dirt,null,null
FF,Homer Bailey,518735,Ball,null,null
FF,Homer Bailey,518735,Called Strike,null,null
SL,Homer Bailey,518735,Ball In Dirt,null,null
CH,Homer Bailey,518735,Ball In Dirt,null,null
CH,Homer Bailey,518735,Called Strike,null,null
SL,Homer Bailey,518735,"In play, out(s)",96.1,50.78
FT,Homer Bailey,592626,"In play, no out",111.1,17.66
KC,Homer Bailey,592626,Ball,null,null
SL,Homer Bailey,435062,"In play, no out",97.4,-7.52
SL,Homer Bailey,435062,Ball,null,null
SL,Homer Bailey,592808,Foul,null,null
FT,Homer Bailey,592808,Ball,null,null
FT,Homer Bailey,592808,Ball,null,null
CH,Homer Bailey,592808,Foul,null,null
SL,Homer Bailey,592808,"In play, run(s)",94.4,18.44
SL,Homer Bailey,574847,Ball In Dirt,null,null
FT,Homer Bailey,574847,Called Strike,null,null
CH,Homer Bailey,574847,"In play, run(s)",88.8,39.68
FF,Homer Bailey,408236,"In play, out(s)",94.3,80.66
CH,Homer Bailey,408236,Called Strike,null,null
CH,Homer Bailey,592885,"In play, no out",102.9,8.78
CH,Homer Bailey,542303,Ball,null,null
KC,Homer Bailey,542303,Swinging Strike,null,null
FT,Homer Bailey,542303,Foul,null,null
CH,Homer Bailey,542303,"In play, run(s)",93.4,-8.74
SL,Homer Bailey,518618,Foul,null,null
FT,Homer Bailey,518618,Foul,null,null
FF,Homer Bailey,518618,Foul,null,null
FT,Homer Bailey,518618,Ball,null,null
FF,Homer Bailey,518618,Swinging Strike,null,null
FF,Homer Bailey,543829,"In play, out(s)",83.7,23.88
FF,Homer Bailey,445988,"In play, no out",82.7,12.76
FF,Homer Bailey,445988,Ball,null,null
FF,Homer Bailey,592885,"In play, out(s)",102.6,28.92
CH,Homer Bailey,542303,Swinging Strike,null,null
FF,Homer Bailey,542303,Ball,null,null
FT,Homer Bailey,542303,Ball,null,null
SL,Homer Bailey,542303,"In play, out(s)",67.2,-40.13
FT,Homer Bailey,542303,Called Strike,null,null
CH,Homer Bailey,542303,Foul,null,null
FF,Homer Bailey,518618,Foul,null,null
FF,Homer Bailey,518618,Called Strike,null,null
FT,Homer Bailey,518618,Called Strike,null,null
FF,Homer Bailey,400085,Swinging Strike,null,null
