pitch_type,player_name,batter,description,hit_speed,hit_angle
FF,Zach Eflin,400284,"In play, out(s)",85.6,36.14
FF,Zach Eflin,400284,Called Strike,null,null
FF,Zach Eflin,608369,Ball,null,null
FT,Zach Eflin,608369,"In play, run(s)",104.7,36.03
FT,Zach Eflin,502210,Ball,null,null
FF,Zach Eflin,502210,Ball,null,null
FT,Zach Eflin,502210,Ball,null,null
FF,Zach Eflin,502210,Foul,null,null
CH,Zach Eflin,502210,Ball,null,null
FT,Zach Eflin,408236,"In play, run(s)",83.4,-6.5
FF,Zach Eflin,408236,Called Strike,null,null
FF,Zach Eflin,518735,Ball,null,null
FT,Zach Eflin,518735,Ball,null,null
SL,Zach Eflin,518735,Foul,null,null
FT,Zach Eflin,518735,Called Strike,null,null
SL,Zach Eflin,518735,Called Strike,null,null
SL,Zach Eflin,518735,Ball In Dirt,null,null
FF,Zach Eflin,518735,Ball,null,null
FT,Zach Eflin,592626,Swinging Strike,null,null
SL,Zach Eflin,592626,Ball In Dirt,null,null
FT,Zach Eflin,592626,"In play, run(s)",110.1,14.89
SL,Zach Eflin,592626,Ball,null,null
CH,Zach Eflin,592626,Foul,null,null
SL,Zach Eflin,592626,Foul,null,null
FT,Zach Eflin,574847,Foul,null,null
FF,Zach Eflin,574847,Foul,null,null
FF,Zach Eflin,574847,"In play, run(s)",89.4,28.87
SL,Zach Eflin,574847,Foul,null,null
SL,Zach Eflin,574847,Foul,null,null
SL,Zach Eflin,574847,Ball In Dirt,null,null
FF,Zach Eflin,628711,"In play, out(s)",100.1,-2.05
SL,Zach Eflin,608369,"In play, out(s)",null,null
CH,Zach Eflin,457759,Ball,null,null
CH,Zach Eflin,457759,"In play, out(s)",91.5,27.42
FF,Zach Eflin,457759,Called Strike,null,null
CH,Zach Eflin,502210,"In play, no out",105.8,-0.15
SL,Zach Eflin,502210,Ball,null,null
FF,Zach Eflin,502210,Called Strike,null,null
FT,Zach Eflin,408236,"In play, out(s)",99.7,20.07
FF,Zach Eflin,408236,Called Strike,null,null
CH,Zach Eflin,518735,Ball,null,null
FF,Zach Eflin,518735,Ball,null,null
CH,Zach Eflin,518735,Called Strike,null,null
FT,Zach Eflin,518735,"In play, run(s)",110.2,34.43
FT,Zach Eflin,592626,Called Strike,null,null
SL,Zach Eflin,592626,Ball,null,null
FF,Zach Eflin,592626,Called Strike,null,null
CH,Zach Eflin,592626,Ball,null,null
FF,Zach Eflin,592626,Ball,null,null
CH,Zach Eflin,592626,"In play, out(s)",105.4,8.17
SL,Zach Eflin,574847,Ball,null,null
FF,Zach Eflin,574847,Foul,null,null
FF,Zach Eflin,574847,Ball,null,null
SL,Zach Eflin,574847,"In play, out(s)",101.4,18.08
FF,Zach Eflin,574847,Called Strike,null,null
SL,Zach Eflin,574847,Foul,null,null
FT,Zach Eflin,628711,"In play, out(s)",null,null
FF,Zach Eflin,628711,Ball,null,null
FF,Zach Eflin,628711,Called Strike,null,null
FF,Zach Eflin,457759,Foul Tip,null,null
FT,Zach Eflin,457759,Ball,null,null
FT,Zach Eflin,457759,"In play, no out",96,25.82
SL,Zach Eflin,457759,Foul,null,null
SL,Zach Eflin,457759,Ball,null,null
SL,Zach Eflin,400284,Ball,null,null
SL,Zach Eflin,400284,Foul,null,null
FT,Zach Eflin,400284,Ball,null,null
