pitch_type,player_name,batter
CH,Adam Warren,456422
FF,Adam Warren,456422
SL,Adam Warren,456422
FF,Adam Warren,456422
CU,Adam Warren,456422
SL,Adam Warren,430945
CU,Adam Warren,430945
SL,Adam Warren,430945
FF,Adam Warren,592518
CU,Adam Warren,592518
FT,Adam Warren,592518
CU,Adam Warren,592518
SL,Max Scherzer,543829
FF,Max Scherzer,543829
FF,Max Scherzer,543829
FF,Max Scherzer,543829
CH,Max Scherzer,543829
SL,Max Scherzer,543829
FF,Max Scherzer,542513
FF,Max Scherzer,542513
SL,Max Scherzer,445988
FF,Max Scherzer,445988
SL,Max Scherzer,445988
FF,Max Scherzer,445988
FF,Max Scherzer,592885
FF,Max Scherzer,592885
FF,Max Scherzer,571506
SL,Max Scherzer,571506
FF,Max Scherzer,571506
FF,Max Scherzer,489305
FF,Max Scherzer,489305
SL,Max Scherzer,543329
FF,Max Scherzer,543329
SL,Max Scherzer,543329
SL,Max Scherzer,543329
SL,Max Scherzer,588751
FF,Max Scherzer,588751
CH,Max Scherzer,588751
FF,Max Scherzer,588751
SL,Max Scherzer,588751
FF,Max Scherzer,588751
SL,Max Scherzer,543408
FF,Max Scherzer,543408
FF,Max Scherzer,543408
SL,Max Scherzer,543408
SL,Max Scherzer,542513
CH,Max Scherzer,542513
SL,Max Scherzer,542513
CU,Max Scherzer,542513
FF,Max Scherzer,542513
FF,Max Scherzer,445988
SL,Max Scherzer,445988
SL,Max Scherzer,592885
CU,Max Scherzer,592885
SL,Max Scherzer,592885
CH,Max Scherzer,592885
FF,Max Scherzer,571506
FF,Max Scherzer,571506
CU,Max Scherzer,571506
SL,Max Scherzer,571506
CH,Max Scherzer,571506
FF,Max Scherzer,571506
FF,Max Scherzer,489305
CH,Max Scherzer,489305
FF,Max Scherzer,489305
SL,Max Scherzer,489305
FF,Max Scherzer,489305
SL,Max Scherzer,489305
FF,Max Scherzer,543329
FF,Max Scherzer,543329
FF,Max Scherzer,588751
CH,Max Scherzer,588751
SL,Max Scherzer,588751
FF,Max Scherzer,588751
CH,Max Scherzer,588751
SL,Max Scherzer,588751
FF,Max Scherzer,400085
FF,Max Scherzer,400085
FF,Max Scherzer,400085
CU,Max Scherzer,400085
FF,Max Scherzer,400085
SL,Max Scherzer,542513
FF,Max Scherzer,542513
CH,Max Scherzer,518618
FF,Max Scherzer,518618
CU,Max Scherzer,518618
FF,Max Scherzer,518618
FF,Max Scherzer,518618
CH,Max Scherzer,592885
FF,Max Scherzer,592885
null,Max Scherzer,571506
null,Max Scherzer,571506
null,Max Scherzer,571506
null,Max Scherzer,571506
SL,Max Scherzer,489305
SL,Max Scherzer,489305
SL,Max Scherzer,489305
FF,Max Scherzer,543329
SL,Max Scherzer,543329
SL,Max Scherzer,543329
SL,Max Scherzer,543329
SL,Max Scherzer,543329
FF,Max Scherzer,543329
FS,Josh Smoker,596748
FF,Josh Smoker,596748
SL,Josh Smoker,519237
FF,Josh Smoker,519237
SL,Josh Smoker,519237
SL,Josh Smoker,519237
FF,Josh Smoker,519237
SI,Adam Wainwright,444379
CH,Adam Wainwright,570256
SI,Adam Wainwright,570256
CU,Adam Wainwright,570256
CU,Adam Wainwright,457705
SI,Adam Wainwright,457705
SI,Adam Wainwright,457705
CU,Adam Wainwright,457705
SI,Adam Wainwright,457705
SI,Adam Wainwright,628356
FF,Adam Wainwright,628356
FC,Adam Wainwright,459964
CU,Adam Wainwright,459964
CU,Adam Wainwright,593700
SI,Adam Wainwright,593700
FC,Adam Wainwright,593700
FC,Adam Wainwright,593700
FF,Adam Wainwright,518700
FF,Adam Wainwright,518700
CU,Adam Wainwright,518700
SI,Adam Wainwright,518700
SI,Adam Wainwright,518700
SI,Adam Wainwright,465753
FC,Adam Wainwright,465753
SI,Adam Wainwright,465753
CU,Adam Wainwright,465753
CU,Adam Wainwright,465753
FC,Adam Wainwright,465753
FF,Adam Wainwright,465753
CU,Adam Wainwright,285064
CU,Adam Wainwright,285064
SI,Adam Wainwright,285064
FC,Adam Wainwright,285064
FC,Adam Wainwright,444379
FC,Adam Wainwright,444379
SI,Adam Wainwright,444379
CU,Adam Wainwright,444379
SI,Adam Wainwright,444379
CU,Adam Wainwright,444379
FC,Adam Wainwright,570256
FC,Adam Wainwright,457705
SI,Adam Wainwright,457705
CU,Adam Wainwright,457705
null,Adam Wainwright,457705
CU,Adam Wainwright,457705
FF,Adam Wainwright,457705
null,Adam Wainwright,628356
null,Adam Wainwright,628356
null,Adam Wainwright,628356
SI,Adam Wainwright,628356
null,Adam Wainwright,628356
FC,Adam Wainwright,628356
null,Adam Wainwright,459964
null,Adam Wainwright,459964
null,Adam Wainwright,459964
null,Adam Wainwright,459964
null,Adam Wainwright,459964
null,Adam Wainwright,459964
FC,Adam Wainwright,518700
CU,Adam Wainwright,518700
FC,Adam Wainwright,465753
SI,Adam Wainwright,465753
CU,Adam Wainwright,465753
SI,Adam Wainwright,465753
FC,Adam Wainwright,465753
CU,Adam Wainwright,465753
FC,Adam Wainwright,285064
SI,Adam Wainwright,285064
CU,Adam Wainwright,570256
FC,Adam Wainwright,570256
SI,Adam Wainwright,570256
CU,Adam Wainwright,570256
SI,Adam Wainwright,457705
SI,Adam Wainwright,457705
CU,Adam Wainwright,457705
FC,Adam Wainwright,628356
SI,Adam Wainwright,628356
SI,Adam Wainwright,628356
SI,Adam Wainwright,628356
SI,Adam Wainwright,459964
FC,Adam Wainwright,459964
SI,Adam Wainwright,459964
SI,Adam Wainwright,459964
CH,Adam Wainwright,459964
SI,Adam Wainwright,518700
FC,Adam Wainwright,518700
SI,Adam Wainwright,518700
CU,Adam Wainwright,518700
SI,Adam Wainwright,518700
FF,Adam Wainwright,518700
FC,Adam Wainwright,465753
SI,Adam Wainwright,465753
FC,Adam Wainwright,465753
FF,Rob Scahill,571448
SL,Rob Scahill,471865
FT,Rob Scahill,471865
FT,Rob Scahill,471865
FT,Rob Scahill,471865
FT,Rob Scahill,608596
SL,Rob Scahill,608596
FT,Rob Scahill,608596
CU,Rob Scahill,608596
FF,Rob Scahill,641958
FF,Rob Scahill,641958
FF,Rob Scahill,642162
SL,Rob Scahill,642162
FF,Rob Scahill,642162
SL,Rob Scahill,642162
CU,Rob Scahill,642162
CU,Rob Scahill,642162
SL,Rob Scahill,642162
FT,Rob Scahill,542436
FT,Rob Scahill,608566
FT,Rob Scahill,608566
FF,Rob Scahill,608566
FF,Rob Scahill,608566
CU,Rob Scahill,608566
SL,Rob Scahill,453568
FT,Rob Scahill,453568
FF,Rob Scahill,453568
FT,Rob Scahill,621311
CU,Rob Scahill,621311
FT,Rob Scahill,621311
FF,Rob Scahill,621311
FT,Rob Scahill,621311
FF,Rob Scahill,621311
SL,Pat Venditte,475174
SI,Pat Venditte,475174
SI,Pat Venditte,475174
SI,Pat Venditte,622194
SL,Pat Venditte,622194
SL,Pat Venditte,622194
SI,Pat Venditte,622194
SI,Pat Venditte,518649
SL,Pat Venditte,518649
SL,Pat Venditte,518649
SL,Pat Venditte,518649
SL,Pat Venditte,518649
SI,Pat Venditte,518649
SL,Pat Venditte,621566
SL,Pat Venditte,621566
SI,Pat Venditte,621566
SI,Pat Venditte,621566
SI,Pat Venditte,621566
SL,Pat Venditte,621566
SI,Pat Venditte,519295
SI,Pat Venditte,519295
SL,Pat Venditte,519295
SI,Pat Venditte,543760
SI,Pat Venditte,621563
SL,Pat Venditte,621563
SI,Pat Venditte,621563
SI,Pat Venditte,621563
SI,Pat Venditte,621563
SL,Pat Venditte,621563
SI,Pat Venditte,640461
FF,Josh Smoker,429667
FF,Josh Smoker,429667
CH,Max Scherzer,543829
FF,Max Scherzer,543829
CH,Max Scherzer,543829
FC,Max Scherzer,543829
CU,Max Scherzer,543829
null,Adam Wainwright,593700
FC,Adam Wainwright,444379
FC,Adam Wainwright,444379
FC,Adam Wainwright,593700
CU,Adam Wainwright,593700
SI,Adam Wainwright,593700
FC,Adam Wainwright,593700
FT,Rob Scahill,471865
FF,Rob Scahill,642162
SL,Rob Scahill,571448
SL,Rob Scahill,571448
FF,Rob Scahill,571448
SL,Adam Warren,506702
CU,Adam Warren,506702
FF,Adam Warren,506702
SL,Adam Warren,506702
SL,Adam Warren,506702
FF,Adam Warren,456030
SL,Adam Warren,456030
SL,Adam Warren,593428
SL,Adam Warren,593428
SL,Adam Warren,593428
CU,Adam Warren,593428
FF,Adam Warren,593428
CU,Adam Warren,593428
IN,Adam Warren,120074
IN,Adam Warren,120074
IN,Adam Warren,120074
IN,Adam Warren,120074
SL,Adam Warren,605141
IN,Adam Warren,434670
IN,Adam Warren,434670
IN,Adam Warren,434670
IN,Adam Warren,434670
FT,Rob Scahill,462101
FT,Rob Scahill,462101
SL,Rob Scahill,460576
SL,Rob Scahill,460576
SL,Ross Stripling,622534
SL,Ross Stripling,571976
FF,Ross Stripling,571976
CU,Ross Stripling,571976
CU,Ross Stripling,571976
CU,Ross Stripling,571976
FF,Ross Stripling,571976
FF,Ross Stripling,500208
FF,Ross Stripling,500208
CU,Ross Stripling,500208
CU,Ross Stripling,500208
CH,Ross Stripling,500208
FF,Ross Stripling,543105
FF,Ross Stripling,543105
CU,Ross Stripling,543105
SL,Ross Stripling,543105
SL,Ross Stripling,543105
SL,Ross Stripling,592669
CU,Ross Stripling,592669
SL,Ross Stripling,592669
CU,Ross Stripling,592669
CU,Ross Stripling,592669
SL,Ross Stripling,592669
SL,Ross Stripling,572114
FF,Ross Stripling,572114
CU,Ross Stripling,572114
CU,Ross Stripling,572114
CU,Ross Stripling,595978
CU,Ross Stripling,595978
SL,Ross Stripling,595978
FF,Ross Stripling,595978
SL,Ross Stripling,595978
CH,Ross Stripling,506560
FF,Ross Stripling,506560
CH,Ross Stripling,506560
CU,Ross Stripling,506560
FF,Ross Stripling,506560
FF,Ross Stripling,506560
CU,Ross Stripling,506560
FF,Ross Stripling,477165
FF,Ross Stripling,477165
FF,Jeff Samardzija,453568
FF,Jeff Samardzija,453568
FF,Jeff Samardzija,518614
SL,Jeff Samardzija,518614
SL,Jeff Samardzija,518614
FF,Jeff Samardzija,518614
FF,Jeff Samardzija,518614
FF,Jeff Samardzija,471865
SL,Jeff Samardzija,471865
FF,Jeff Samardzija,471865
FF,Jeff Samardzija,471865
FF,Jeff Samardzija,471865
FS,Jeff Samardzija,471865
FS,Jeff Samardzija,471865
SL,Jeff Samardzija,571448
FF,Jeff Samardzija,571448
FF,Jeff Samardzija,571448
FF,Jeff Samardzija,571448
FS,Jeff Samardzija,621311
FT,Jeff Samardzija,621311
FT,Jeff Samardzija,621311
FT,Jeff Samardzija,621311
FT,Jeff Samardzija,467827
FF,Jeff Samardzija,467827
SL,Jeff Samardzija,467827
FS,Jeff Samardzija,467827
FS,Jeff Samardzija,467827
FS,Jeff Samardzija,542436
FF,Jeff Samardzija,542436
FT,Jeff Samardzija,542436
FT,Jeff Samardzija,547172
FT,Jeff Samardzija,547172
SL,Jeff Samardzija,543022
SL,Jeff Samardzija,543022
FT,Jeff Samardzija,543022
SL,Jeff Samardzija,543022
FF,Jeff Samardzija,453568
FS,Jeff Samardzija,453568
FF,Jeff Samardzija,453568
FS,Jeff Samardzija,453568
FF,Jeff Samardzija,453568
FF,Jeff Samardzija,453568
SL,Jeff Samardzija,453568
SL,Jeff Samardzija,518614
FT,Jeff Samardzija,518614
FF,Jeff Samardzija,518614
FS,Jeff Samardzija,518614
FF,Jeff Samardzija,471865
FT,Jeff Samardzija,471865
FS,Jeff Samardzija,471865
FT,Jeff Samardzija,571448
CU,Jeff Samardzija,571448
CU,Jeff Samardzija,621311
FS,Jeff Samardzija,621311
FT,Jeff Samardzija,621311
FT,Jeff Samardzija,621311
FF,Jeff Samardzija,542436
FS,Jeff Samardzija,542436
FS,Jeff Samardzija,542436
FF,Jeff Samardzija,542436
FS,Jeff Samardzija,547172
CU,Jeff Samardzija,547172
CU,Jeff Samardzija,547172
FS,Jeff Samardzija,547172
SL,Jeff Samardzija,543022
FF,Jeff Samardzija,543022
FF,Jeff Samardzija,543022
FF,Jeff Samardzija,543022
FT,Jeff Samardzija,543022
FF,Jeff Samardzija,543022
CU,Jeff Samardzija,453568
FT,Jeff Samardzija,453568
CU,Jeff Samardzija,453568
FS,Jeff Samardzija,453568
FF,Jeff Samardzija,518614
FS,Jeff Samardzija,518614
FF,Jeff Samardzija,518614
FS,Jeff Samardzija,518614
FF,Jeff Samardzija,471865
FF,Jeff Samardzija,471865
FS,Jeff Samardzija,471865
FF,Jeff Samardzija,471865
FF,Jeff Samardzija,471865
FS,Jeff Samardzija,471865
FS,Jeff Samardzija,621311
FF,Jeff Samardzija,621311
FS,Jeff Samardzija,621311
FS,Jeff Samardzija,621311
FS,Jeff Samardzija,621311
FF,Jeff Samardzija,467827
SL,Ross Stripling,606131
FF,Ross Stripling,606131
FT,Jeff Samardzija,467827
CU,Jeff Samardzija,467827
FT,Rob Scahill,608577
FT,Rob Scahill,608577
FT,Rob Scahill,608577
FT,Rob Scahill,608577
CU,Jeff Samardzija,571448
FF,Max Scherzer,571875
SL,Max Scherzer,571875
CU,Max Scherzer,571875
FF,Max Scherzer,571875
FF,Max Scherzer,571875
FF,Max Scherzer,571875
CH,Max Scherzer,571875
SL,Max Scherzer,456078
FF,Max Scherzer,456078
FF,Max Scherzer,456078
SL,Max Scherzer,456078
FF,Max Scherzer,456078
FF,Max Scherzer,592273
FF,Max Scherzer,630111
SL,Max Scherzer,630111
FF,Max Scherzer,571745
SL,Max Scherzer,571745
FF,Max Scherzer,571863
FF,Max Scherzer,571863
CU,Max Scherzer,571863
SL,Max Scherzer,516416
SL,Max Scherzer,516416
FF,Max Scherzer,516416
SL,Max Scherzer,516416
SL,Max Scherzer,516416
SL,Max Scherzer,516416
FF,Max Scherzer,571875
FF,Max Scherzer,502671
SL,Max Scherzer,502671
SL,Max Scherzer,502671
SL,Max Scherzer,502671
SL,Max Scherzer,456078
FF,Max Scherzer,456078
SL,Max Scherzer,630111
FF,Max Scherzer,630111
FF,Max Scherzer,630111
FF,Max Scherzer,630111
FF,Max Scherzer,630111
SL,Max Scherzer,630111
SL,Max Scherzer,630111
CU,Max Scherzer,630111
CU,Max Scherzer,572008
SL,Max Scherzer,572008
FF,Max Scherzer,572008
CU,Max Scherzer,571745
SL,Max Scherzer,571745
SL,Max Scherzer,571745
FF,Max Scherzer,571745
FF,Max Scherzer,571745
FF,Max Scherzer,571863
FF,Max Scherzer,571863
FF,Max Scherzer,571863
CU,Max Scherzer,571863
FF,Max Scherzer,516416
CH,Max Scherzer,516416
CH,Max Scherzer,516416
FF,Max Scherzer,571875
SL,Max Scherzer,571875
FF,Max Scherzer,571875
CH,Max Scherzer,571875
SL,Max Scherzer,571875
CH,Max Scherzer,571875
FF,Max Scherzer,502671
SL,Max Scherzer,502671
FF,Max Scherzer,502671
FF,Max Scherzer,502671
SL,Max Scherzer,456078
FF,Max Scherzer,456078
CH,Max Scherzer,456078
SL,Max Scherzer,456078
SL,Max Scherzer,456078
CH,Max Scherzer,456078
FF,Max Scherzer,572008
SL,Max Scherzer,572008
SL,Max Scherzer,572008
