pitch_type,player_name,batter,description,hit_speed,hit_angle
SL,Leonel Campos,630111,"In play, out(s)",81.2,-11.52
FF,Leonel Campos,630111,Ball,null,null
FF,Leonel Campos,571745,"In play, run(s)",98,32.32
FT,Leonel Campos,571745,Swinging Strike,null,null
CH,Leonel Campos,571875,Ball,null,null
SL,Leonel Campos,571875,Ball,null,null
CH,Leonel Campos,571875,Swinging Strike,null,null
FF,Leonel Campos,571875,"In play, no out",85.1,0.46
FF,Leonel Campos,571812,Ball,null,null
FF,Leonel Campos,571812,Swinging Strike,null,null
SL,Leonel Campos,571812,Called Strike,null,null
SL,Leonel Campos,571812,Ball,null,null
SL,Leonel Campos,571812,Swinging Strike,null,null
FF,Leonel Campos,592273,"In play, out(s)",null,null
FF,Leonel Campos,592273,Called Strike,null,null
SL,Leonel Campos,435062,Swinging Strike,null,null
FF,Leonel Campos,435062,Ball,null,null
SL,Leonel Campos,435062,Called Strike,null,null
SL,Leonel Campos,435062,Ball,null,null
SL,Leonel Campos,435062,Swinging Strike,null,null
FF,Leonel Campos,518586,Ball,null,null
FF,Leonel Campos,518586,Called Strike,null,null
FF,Leonel Campos,518586,Swinging Strike,null,null
FF,Leonel Campos,518586,Ball,null,null
FF,Leonel Campos,518586,Foul,null,null
FF,Leonel Campos,457759,"In play, no out",103.2,15.21
FF,Leonel Campos,624577,Ball,null,null
SL,Leonel Campos,624577,Swinging Strike,null,null
SL,Leonel Campos,624577,Foul,null,null
FF,Leonel Campos,624577,Ball,null,null
SL,Leonel Campos,624577,Called Strike,null,null
SL,Leonel Campos,624577,"In play, no out",69.3,15.24
SL,Leonel Campos,434563,Ball,null,null
FF,Leonel Campos,434563,"In play, run(s)",84.4,-0.09
SL,Leonel Campos,434563,Ball,null,null
SL,Leonel Campos,571771,"In play, out(s)",90.9,-19.3
SL,Leonel Campos,571771,Swinging Strike,null,null
FF,Leonel Campos,434636,Ball,null,null
FF,Leonel Campos,434636,"In play, no out",99.5,-8.69
FF,Leonel Campos,501303,"In play, out(s)",93,56.15
SL,Leonel Campos,518516,Foul (Runner Going),null,null
FF,Leonel Campos,518516,Ball,null,null
SL,Leonel Campos,518516,Swinging Strike,null,null
FF,Leonel Campos,518516,Foul,null,null
SL,Leonel Campos,518516,Swinging Strike (Blocked),null,null
SL,Leonel Campos,452655,Ball In Dirt,null,null
FF,Leonel Campos,452655,Ball,null,null
