pitch_type,player_name,batter,description,hit_speed,hit_angle
FF,Lucas Giolito,571745,Called Strike,null,null
FF,Lucas Giolito,571745,Ball,null,null
FF,Lucas Giolito,571745,Foul,null,null
FF,Lucas Giolito,571745,Ball,null,null
FF,Lucas Giolito,571745,Foul,null,null
FF,Lucas Giolito,571745,Ball,null,null
FF,Lucas Giolito,571745,Called Strike,null,null
CH,Lucas Giolito,571745,Foul,null,null
FF,Lucas Giolito,571745,Ball,null,null
FF,Lucas Giolito,516416,"In play, run(s)",102.5,30.39
CH,Lucas Giolito,571875,Ball,null,null
FF,Lucas Giolito,571875,Foul,null,null
FT,Lucas Giolito,571875,Ball,null,null
FF,Lucas Giolito,571875,"In play, run(s)",106.1,21.56
FF,Lucas Giolito,456078,Called Strike,null,null
CU,Lucas Giolito,456078,Called Strike,null,null
CU,Lucas Giolito,456078,Ball,null,null
CU,Lucas Giolito,456078,Called Strike,null,null
CH,Lucas Giolito,592273,Ball,null,null
FF,Lucas Giolito,592273,"In play, no out",105.7,12.65
CH,Lucas Giolito,592273,Ball,null,null
FF,Lucas Giolito,630111,"In play, out(s)",89.3,6.94
CU,Lucas Giolito,572008,Ball,null,null
CU,Lucas Giolito,572008,Ball,null,null
CU,Lucas Giolito,572008,Called Strike,null,null
FF,Lucas Giolito,572008,"In play, run(s)",93.3,-0.35
FF,Lucas Giolito,571745,"In play, out(s)",null,null
CH,Lucas Giolito,502671,Ball,null,null
FF,Lucas Giolito,502671,Called Strike,null,null
CH,Lucas Giolito,502671,"In play, out(s)",48.6,-35.99
CU,Lucas Giolito,502671,Ball,null,null
CU,Lucas Giolito,571812,Ball In Dirt,null,null
FF,Lucas Giolito,571812,"In play, out(s)",null,null
FF,Lucas Giolito,571812,Ball,null,null
FF,Lucas Giolito,571812,Foul,null,null
FF,Lucas Giolito,571812,Foul,null,null
FF,Lucas Giolito,452095,Foul,null,null
FF,Lucas Giolito,452095,Ball,null,null
FF,Lucas Giolito,452095,Ball,null,null
CU,Lucas Giolito,452095,Called Strike,null,null
CU,Lucas Giolito,452095,Hit By Pitch,null,null
FF,Lucas Giolito,592314,Ball,null,null
FF,Lucas Giolito,592314,Swinging Strike,null,null
CU,Lucas Giolito,592314,Swinging Strike,null,null
FF,Lucas Giolito,592314,Called Strike,null,null
CU,Lucas Giolito,542255,Foul,null,null
CH,Lucas Giolito,542255,Ball,null,null
FF,Lucas Giolito,542255,Foul,null,null
CH,Lucas Giolito,542255,Swinging Strike,null,null
CU,Lucas Giolito,542255,Foul,null,null
FF,Lucas Giolito,542255,Ball,null,null
CU,Lucas Giolito,542255,Swinging Strike,null,null
CH,Lucas Giolito,611177,"In play, out(s)",102.5,3.31
FF,Lucas Giolito,611177,Swinging Strike,null,null
FF,Lucas Giolito,452095,Ball,null,null
CH,Lucas Giolito,452095,Foul,null,null
CH,Lucas Giolito,452095,Ball In Dirt,null,null
CH,Lucas Giolito,452095,Foul,null,null
FF,Lucas Giolito,452095,"In play, run(s)",91,-20.83
FF,Lucas Giolito,488818,Foul,null,null
CU,Lucas Giolito,488818,Foul,null,null
FF,Lucas Giolito,488818,Called Strike,null,null
FF,Lucas Giolito,488818,Foul,null,null
CU,Lucas Giolito,488818,Foul,null,null
FF,Lucas Giolito,488818,Foul,null,null
CH,Lucas Giolito,488818,Foul,null,null
FF,Lucas Giolito,488818,Called Strike,null,null
CU,Lucas Giolito,607054,Ball,null,null
FF,Lucas Giolito,607054,Ball,null,null
FF,Lucas Giolito,607054,"In play, out(s)",84.7,-26.88
FF,Lucas Giolito,607054,Called Strike,null,null
FF,Lucas Giolito,607054,Foul,null,null
FF,Lucas Giolito,455976,Ball,null,null
FF,Lucas Giolito,455976,Called Strike,null,null
FF,Lucas Giolito,455976,"In play, out(s)",97.8,23.04
FF,Lucas Giolito,621020,Called Strike,null,null
CU,Lucas Giolito,621020,"In play, out(s)",88.6,-3.1
FF,Lucas Giolito,621020,Called Strike,null,null
FF,Lucas Giolito,607054,Called Strike,null,null
CH,Lucas Giolito,607054,Foul,null,null
FF,Lucas Giolito,607054,"In play, out(s)",101.1,-10.2
FF,Lucas Giolito,607054,Foul,null,null
CH,Lucas Giolito,621020,Ball,null,null
FF,Lucas Giolito,621020,Ball,null,null
FF,Lucas Giolito,621020,"In play, run(s)",105.2,29.32
FF,Lucas Giolito,621020,Ball,null,null
FF,Lucas Giolito,621020,Called Strike,null,null
CU,Lucas Giolito,518692,"In play, no out",87.9,18.84
FF,Lucas Giolito,461314,Called Strike,null,null
FF,Lucas Giolito,461314,Ball,null,null
