pitch_type,player_name,batter,description,hit_speed,hit_angle
KC,Tyler Duffey,594809,Ball,null,null
KC,Tyler Duffey,594809,Foul,null,null
FT,Tyler Duffey,594809,Foul,null,null
KC,Tyler Duffey,594809,Foul,null,null
KC,Tyler Duffey,594809,Swinging Strike (Blocked),null,null
FT,Tyler Duffey,594809,Foul,null,null
FT,Tyler Duffey,594809,Called Strike,null,null
FT,Tyler Duffey,641313,Called Strike,null,null
FT,Tyler Duffey,641313,"In play, no out",102.1,24.2
FT,Tyler Duffey,641313,Called Strike,null,null
KC,Tyler Duffey,641313,Ball,null,null
KC,Tyler Duffey,641313,Ball,null,null
FT,Tyler Duffey,466320,Foul,null,null
FT,Tyler Duffey,466320,Ball,null,null
FT,Tyler Duffey,466320,Ball,null,null
KC,Tyler Duffey,466320,Foul,null,null
KC,Tyler Duffey,466320,"In play, run(s)",95,15.16
FT,Tyler Duffey,547989,"In play, out(s)",99.4,-7.06
FT,Tyler Duffey,547989,Called Strike,null,null
KC,Tyler Duffey,408047,Swinging Strike,null,null
FT,Tyler Duffey,408047,Foul,null,null
FT,Tyler Duffey,408047,"In play, no out",96.8,-4.44
FT,Tyler Duffey,408047,Called Strike,null,null
CH,Tyler Duffey,408047,Ball In Dirt,null,null
KC,Tyler Duffey,453943,Ball,null,null
KC,Tyler Duffey,453943,Ball In Dirt,null,null
FT,Tyler Duffey,453943,Foul,null,null
FT,Tyler Duffey,453943,Foul,null,null
KC,Tyler Duffey,453943,Foul,null,null
FT,Tyler Duffey,453943,Ball,null,null
FT,Tyler Duffey,453943,Foul,null,null
FT,Tyler Duffey,453943,Foul,null,null
KC,Tyler Duffey,453943,"In play, out(s)",84.4,67.01
CH,Tyler Duffey,570560,Ball,null,null
KC,Tyler Duffey,570560,Foul,null,null
KC,Tyler Duffey,570560,Foul,null,null
FT,Tyler Duffey,570560,Called Strike,null,null
FT,Tyler Duffey,570560,Foul,null,null
FT,Tyler Duffey,570560,Called Strike,null,null
FT,Tyler Duffey,553882,Ball,null,null
FT,Tyler Duffey,553882,Called Strike,null,null
FT,Tyler Duffey,553882,Foul,null,null
KC,Tyler Duffey,553882,Swinging Strike (Blocked),null,null
KC,Tyler Duffey,544725,Foul,null,null
FT,Tyler Duffey,544725,Ball,null,null
FT,Tyler Duffey,544725,Called Strike,null,null
FT,Tyler Duffey,544725,Foul,null,null
KC,Tyler Duffey,544725,Swinging Strike,null,null
FT,Tyler Duffey,594809,Ball,null,null
FT,Tyler Duffey,594809,Foul,null,null
KC,Tyler Duffey,594809,Foul,null,null
KC,Tyler Duffey,594809,Ball,null,null
CH,Tyler Duffey,594809,Ball,null,null
FT,Tyler Duffey,594809,Foul,null,null
FT,Tyler Duffey,594809,Ball,null,null
KC,Tyler Duffey,641313,Ball In Dirt,null,null
FT,Tyler Duffey,641313,Called Strike,null,null
FT,Tyler Duffey,641313,Foul,null,null
FT,Tyler Duffey,641313,"In play, run(s)",106.4,27.86
FT,Tyler Duffey,641313,Ball,null,null
FT,Tyler Duffey,641313,Swinging Strike,null,null
FT,Tyler Duffey,641313,Ball,null,null
FT,Tyler Duffey,641313,Foul (Runner Going),null,null
FT,Tyler Duffey,466320,"In play, no out",91.5,26
KC,Tyler Duffey,547989,Foul,null,null
KC,Tyler Duffey,547989,Ball In Dirt,null,null
KC,Tyler Duffey,547989,"In play, run(s)",99.8,10.46
KC,Tyler Duffey,547989,Swinging Strike,null,null
KC,Tyler Duffey,547989,Foul,null,null
FT,Tyler Duffey,547989,Ball,null,null
FT,Tyler Duffey,493114,Ball,null,null
FF,Tyler Duffey,493114,"In play, out(s)",99.6,38.79
FT,Tyler Duffey,452234,"In play, out(s)",67.2,-48.66
KC,Tyler Duffey,443558,Foul,null,null
FT,Tyler Duffey,443558,Ball,null,null
FT,Tyler Duffey,443558,"In play, no out",109.8,17.84
FF,Tyler Duffey,443558,Called Strike,null,null
FT,Tyler Duffey,443558,Ball,null,null
KC,Tyler Duffey,443558,Called Strike,null,null
FF,Tyler Duffey,572122,"In play, out(s)",90.5,41.57
KC,Tyler Duffey,572122,Ball,null,null
FT,Tyler Duffey,572122,Called Strike,null,null
KC,Tyler Duffey,572122,Called Strike,null,null
FT,Tyler Duffey,452252,"In play, out(s)",86.4,-36.51
KC,Tyler Duffey,452252,Ball,null,null
KC,Tyler Duffey,452252,Ball,null,null
FT,Tyler Duffey,452252,Ball,null,null
FF,Tyler Duffey,452252,Called Strike,null,null
FF,Tyler Duffey,547982,Swinging Strike,null,null
KC,Tyler Duffey,547982,Ball,null,null
KC,Tyler Duffey,547982,Ball,null,null
FT,Tyler Duffey,547982,Swinging Strike,null,null
FT,Tyler Duffey,547982,Foul Tip,null,null
KC,Tyler Duffey,606466,"In play, out(s)",84.9,8.38
FF,Tyler Duffey,606466,Called Strike,null,null
FT,Tyler Duffey,606466,Foul Bunt,null,null
FF,Tyler Duffey,493114,Foul,null,null
KC,Tyler Duffey,493114,Foul,null,null
KC,Tyler Duffey,493114,Ball,null,null
