pitch_type,player_name,batter,description,hit_speed,hit_angle
FF,Addison Reed,546318,Called Strike,null,null
FF,Addison Reed,546318,Ball,null,null
FF,Addison Reed,546318,"In play, out(s)",82.9,38.07
FF,Addison Reed,546318,Ball,null,null
FF,Addison Reed,596748,"In play, out(s)",89.4,34.37
FF,Addison Reed,433217,Foul,null,null
SL,Addison Reed,433217,Foul,null,null
SL,Addison Reed,433217,Foul,null,null
FF,Addison Reed,433217,Ball,null,null
FF,Addison Reed,433217,Called Strike,null,null
FF,Addison Reed,433217,Foul,null,null
FF,Addison Reed,433217,Foul,null,null
FF,Addison Reed,433217,"In play, out(s)",92.6,5.88
FF,Addison Reed,546318,Called Strike,null,null
SL,Addison Reed,546318,Swinging Strike,null,null
SL,Addison Reed,546318,Ball,null,null
FC,Addison Reed,546318,Ball,null,null
FF,Addison Reed,546318,Swinging Strike,null,null
FF,Addison Reed,596748,Ball,null,null
FF,Addison Reed,596748,Called Strike,null,null
FF,Addison Reed,596748,Called Strike,null,null
SL,Addison Reed,596748,Foul,null,null
FF,Addison Reed,596748,Foul,null,null
FF,Addison Reed,596748,Foul,null,null
SL,Addison Reed,429667,Ball,null,null
FF,Addison Reed,429667,Ball,null,null
SL,Addison Reed,429667,Swinging Strike,null,null
FF,Addison Reed,429667,Called Strike,null,null
FF,Addison Reed,429667,Foul,null,null
FF,Addison Reed,592885,Called Strike,null,null
SL,Addison Reed,592885,Ball,null,null
FF,Addison Reed,592885,Foul,null,null
FF,Addison Reed,592885,Ball,null,null
FF,Addison Reed,592885,Called Strike,null,null
SL,Addison Reed,592885,Ball,null,null
FF,Addison Reed,592885,"In play, no out",96,14.2
FF,Addison Reed,519317,Called Strike,null,null
FF,Addison Reed,519317,Called Strike,null,null
SL,Addison Reed,519317,Ball In Dirt,null,null
FF,Addison Reed,519317,Called Strike,null,null
FF,Addison Reed,592663,Swinging Strike,null,null
FF,Addison Reed,592663,Ball,null,null
FF,Addison Reed,592663,Foul,null,null
SL,Addison Reed,592663,Ball,null,null
FF,Addison Reed,592663,Swinging Strike,null,null
FF,Addison Reed,571506,Ball,null,null
FF,Addison Reed,571506,Called Strike,null,null
FF,Addison Reed,571506,"In play, out(s)",88.7,21.55
SL,Addison Reed,570639,Swinging Strike,null,null
FF,Addison Reed,570639,"In play, no out",92.2,1.4
FF,Addison Reed,570639,Called Strike,null,null
SL,Addison Reed,570639,Ball,null,null
FF,Addison Reed,543829,Ball,null,null
FF,Addison Reed,543829,Ball,null,null
FF,Addison Reed,543829,"In play, out(s)",73.6,4.27
FF,Addison Reed,542303,Ball,null,null
SL,Addison Reed,542303,Swinging Strike,null,null
FF,Addison Reed,542303,Called Strike,null,null
FF,Addison Reed,542303,"In play, out(s)",91.2,21.66
FF,Addison Reed,514917,"In play, no out",null,null
FF,Addison Reed,596451,Called Strike,null,null
FF,Addison Reed,596451,"In play, out(s)",null,null
FF,Addison Reed,596451,Ball,null,null
FF,Addison Reed,596748,Ball,null,null
FF,Addison Reed,596748,Called Strike,null,null
FF,Addison Reed,596748,Foul,null,null
SL,Addison Reed,596748,Ball In Dirt,null,null
SL,Addison Reed,596748,Ball,null,null
FC,Addison Reed,596748,"In play, run(s)",101.8,23.48
FF,Addison Reed,429667,Ball,null,null
SL,Addison Reed,429667,Ball,null,null
SL,Addison Reed,429667,Foul Tip,null,null
FC,Addison Reed,429667,Ball,null,null
FF,Addison Reed,429667,Ball,null,null
SL,Addison Reed,546318,Swinging Strike (Blocked),null,null
FF,Addison Reed,546318,Called Strike,null,null
FF,Addison Reed,546318,Ball,null,null
SL,Addison Reed,546318,"In play, no out",105.2,-1.92
FF,Addison Reed,503351,Called Strike,null,null
FF,Addison Reed,503351,Foul,null,null
SL,Addison Reed,503351,Foul Tip,null,null
FF,Addison Reed,503351,Foul,null,null
FF,Addison Reed,542255,Ball,null,null
SL,Addison Reed,542255,"In play, no out",89.7,2.52
FF,Addison Reed,542255,Foul,null,null
