pitch_type,player_name,batter,description,hit_speed,hit_angle
SL,Mike Bolsinger,542340,"In play, out(s)",53.6,-41.26
FF,Mike Bolsinger,542340,Called Strike,null,null
FC,Mike Bolsinger,571697,Ball,null,null
CU,Mike Bolsinger,571697,Ball,null,null
FF,Mike Bolsinger,571697,Ball,null,null
FC,Mike Bolsinger,571697,Ball,null,null
FF,Mike Bolsinger,460075,Called Strike,null,null
CU,Mike Bolsinger,460075,Foul,null,null
SL,Mike Bolsinger,460075,"In play, out(s)",null,null
CU,Mike Bolsinger,518960,Called Strike,null,null
FF,Mike Bolsinger,518960,Ball,null,null
CU,Mike Bolsinger,518960,Ball In Dirt,null,null
SL,Mike Bolsinger,518960,"In play, run(s)",98.3,20.91
FC,Mike Bolsinger,518960,Ball,null,null
SL,Mike Bolsinger,518960,Called Strike,null,null
FF,Mike Bolsinger,474892,Ball,null,null
CU,Mike Bolsinger,474892,"In play, out(s)",90.4,34.77
FF,Mike Bolsinger,474892,Called Strike,null,null
SL,Mike Bolsinger,474892,Ball,null,null
SL,Mike Bolsinger,474892,Swinging Strike,null,null
SL,Mike Bolsinger,474892,Ball,null,null
FF,Mike Bolsinger,431094,Ball,null,null
FF,Mike Bolsinger,431094,Called Strike,null,null
FF,Mike Bolsinger,431094,"In play, no out",98.4,11.05
CH,Mike Bolsinger,431094,Ball,null,null
CU,Mike Bolsinger,543590,Foul Bunt,null,null
CU,Mike Bolsinger,543590,"In play, out(s)",101,4.62
SL,Mike Bolsinger,570717,"In play, no out",92.1,15.6
FF,Mike Bolsinger,570717,Called Strike,null,null
CU,Mike Bolsinger,570717,Foul,null,null
CH,Mike Bolsinger,502624,Ball,null,null
CU,Mike Bolsinger,502624,Called Strike,null,null
SL,Mike Bolsinger,502624,Foul,null,null
CU,Mike Bolsinger,502624,"In play, no out",96.9,-1.65
CH,Mike Bolsinger,502624,Ball,null,null
FF,Mike Bolsinger,542340,Called Strike,null,null
FF,Mike Bolsinger,542340,Foul,null,null
FF,Mike Bolsinger,542340,"In play, run(s)",97.5,-22.72
CU,Mike Bolsinger,542340,Ball,null,null
FF,Mike Bolsinger,542340,Called Strike,null,null
CU,Mike Bolsinger,542340,Ball In Dirt,null,null
SL,Mike Bolsinger,542340,Ball,null,null
FF,Mike Bolsinger,460075,Foul (Runner Going),null,null
CU,Mike Bolsinger,460075,Foul Tip,null,null
FF,Mike Bolsinger,460075,Ball,null,null
CU,Mike Bolsinger,460075,"In play, out(s)",82.2,4.89
CU,Mike Bolsinger,518960,Called Strike,null,null
FF,Mike Bolsinger,518960,"In play, out(s)",97.7,-15.51
FF,Mike Bolsinger,518960,Ball,null,null
CU,Mike Bolsinger,518960,Ball,null,null
FF,Mike Bolsinger,518960,Foul,null,null
FF,Mike Bolsinger,474892,Called Strike,null,null
CU,Mike Bolsinger,474892,Ball,null,null
FF,Mike Bolsinger,474892,Ball,null,null
FF,Mike Bolsinger,474892,Called Strike,null,null
SL,Mike Bolsinger,474892,Ball,null,null
FF,Mike Bolsinger,474892,Ball,null,null
FF,Mike Bolsinger,431094,Ball,null,null
CU,Mike Bolsinger,431094,Foul,null,null
CU,Mike Bolsinger,431094,"In play, no out",82.5,17.68
CU,Mike Bolsinger,431094,Ball,null,null
SL,Mike Bolsinger,431094,Called Strike,null,null
SL,Mike Bolsinger,431094,Ball In Dirt,null,null
FF,Mike Bolsinger,543590,Foul,null,null
FF,Mike Bolsinger,543590,Ball,null,null
CU,Mike Bolsinger,543590,Ball,null,null
SL,Mike Bolsinger,543590,"In play, no out",97.1,4.73
SL,Mike Bolsinger,570717,"In play, run(s)",90.6,13.25
CU,Mike Bolsinger,570717,Called Strike,null,null
SL,Mike Bolsinger,502624,Swinging Strike (Blocked),null,null
FC,Mike Bolsinger,502624,Foul Bunt,null,null
CU,Mike Bolsinger,502624,Missed Bunt,null,null
CU,Mike Bolsinger,571697,"In play, run(s)",81.3,22.43
FC,Mike Bolsinger,516416,"In play, out(s)",97.7,35.46
SL,Mike Bolsinger,571875,Ball,null,null
FF,Mike Bolsinger,571875,Called Strike,null,null
CU,Mike Bolsinger,571875,"In play, out(s)",96.2,18.53
CU,Mike Bolsinger,571875,Ball,null,null
CU,Mike Bolsinger,571875,Swinging Strike,null,null
SL,Mike Bolsinger,502671,"In play, run(s)",100.3,33.22
FC,Mike Bolsinger,502671,Called Strike,null,null
FF,Mike Bolsinger,444482,Called Strike,null,null
FF,Mike Bolsinger,444482,"In play, no out",79.9,16.44
SL,Mike Bolsinger,444482,Ball,null,null
FF,Mike Bolsinger,456078,Called Strike,null,null
CU,Mike Bolsinger,456078,Called Strike,null,null
FF,Mike Bolsinger,456078,Ball,null,null
SL,Mike Bolsinger,456078,Swinging Strike,null,null
SL,Mike Bolsinger,598284,"In play, out(s)",104.6,43.56
FF,Mike Bolsinger,630111,Called Strike,null,null
FC,Mike Bolsinger,630111,Ball,null,null
SL,Mike Bolsinger,630111,Ball,null,null
CU,Mike Bolsinger,630111,"In play, out(s)",null,null
FC,Mike Bolsinger,630111,Called Strike,null,null
CU,Mike Bolsinger,630111,Ball,null,null
SL,Mike Bolsinger,425844,"In play, out(s)",102.3,26.44
FC,Mike Bolsinger,605113,Called Strike,null,null
FF,Mike Bolsinger,605113,Ball,null,null
CU,Mike Bolsinger,605113,Ball,null,null
CU,Mike Bolsinger,605113,Called Strike,null,null
FC,Mike Bolsinger,605113,Ball,null,null
