pitch_type,player_name,batter,description,hit_speed,hit_angle
FF,Raul Alcantara,572287,"In play, out(s)",55.9,-34.68
FF,Raul Alcantara,493114,Foul,null,null
FF,Raul Alcantara,493114,Foul,null,null
CH,Raul Alcantara,493114,"In play, no out",90.4,-10.01
FF,Raul Alcantara,493114,Called Strike,null,null
FF,Raul Alcantara,493114,Called Strike,null,null
FF,Raul Alcantara,493114,Foul,null,null
FF,Raul Alcantara,493114,Ball,null,null
CH,Raul Alcantara,493114,Foul,null,null
FT,Raul Alcantara,493114,Ball,null,null
FT,Raul Alcantara,452234,Ball,null,null
FF,Raul Alcantara,452234,Foul,null,null
FF,Raul Alcantara,452234,Ball,null,null
FF,Raul Alcantara,452234,"In play, out(s)",100.5,21.78
FF,Raul Alcantara,443558,Swinging Strike,null,null
CU,Raul Alcantara,443558,Ball,null,null
SL,Raul Alcantara,443558,Called Strike,null,null
FF,Raul Alcantara,443558,"In play, no out",110.9,11.04
CH,Raul Alcantara,572122,Called Strike,null,null
FF,Raul Alcantara,572122,Ball,null,null
FF,Raul Alcantara,572122,Ball,null,null
FT,Raul Alcantara,572122,Ball,null,null
FT,Raul Alcantara,572122,Ball,null,null
CH,Raul Alcantara,452252,Ball In Dirt,null,null
FF,Raul Alcantara,452252,Ball,null,null
CH,Raul Alcantara,452252,"In play, out(s)",101.1,-10.65
FF,Raul Alcantara,452252,Called Strike,null,null
CH,Raul Alcantara,547982,Swinging Strike,null,null
CH,Raul Alcantara,547982,Called Strike,null,null
FF,Raul Alcantara,547982,Called Strike,null,null
SL,Raul Alcantara,547982,Ball,null,null
FF,Raul Alcantara,493114,"In play, run(s)",102.7,32.21
FF,Raul Alcantara,493114,Foul,null,null
CH,Raul Alcantara,452234,"In play, out(s)",62.6,-47.22
CH,Raul Alcantara,452234,Ball,null,null
FF,Raul Alcantara,443558,Ball,null,null
SL,Raul Alcantara,443558,"In play, run(s)",103.5,26.59
SL,Raul Alcantara,443558,Called Strike,null,null
SL,Raul Alcantara,443558,Called Strike,null,null
FF,Raul Alcantara,572122,Ball,null,null
CH,Raul Alcantara,572122,Ball,null,null
