pitch_type,player_name,batter,description,hit_speed,hit_angle
SL,Noah Syndergaard,542303,Ball In Dirt,null,null
SI,Noah Syndergaard,542303,Foul,null,null
SL,Noah Syndergaard,542303,Foul,null,null
SI,Noah Syndergaard,542303,Ball,null,null
FF,Noah Syndergaard,542303,Called Strike,null,null
FF,Noah Syndergaard,542303,Foul,null,null
SI,Noah Syndergaard,542303,Ball,null,null
SL,Noah Syndergaard,542303,"In play, run(s)",87.3,-12.06
FF,Noah Syndergaard,445988,Called Strike,null,null
FF,Noah Syndergaard,445988,Foul,null,null
FF,Noah Syndergaard,445988,Called Strike,null,null
FF,Noah Syndergaard,445988,"In play, out(s)",93.6,-14.19
SI,Noah Syndergaard,592885,Ball,null,null
FF,Noah Syndergaard,592885,"In play, out(s)",107.5,-17.1
FF,Noah Syndergaard,592885,Ball,null,null
SI,Noah Syndergaard,592885,Foul,null,null
FF,Noah Syndergaard,519317,Called Strike,null,null
FF,Noah Syndergaard,519317,Swinging Strike,null,null
FF,Noah Syndergaard,519317,Called Strike,null,null
CH,Noah Syndergaard,571506,Ball,null,null
FF,Noah Syndergaard,571506,Ball,null,null
SI,Noah Syndergaard,571506,"In play, no out",104.5,9.58
FF,Noah Syndergaard,592663,Foul,null,null
FF,Noah Syndergaard,592663,Ball,null,null
FF,Noah Syndergaard,592663,"In play, out(s)",94,21.4
SL,Noah Syndergaard,592663,Called Strike,null,null
SL,Noah Syndergaard,592663,Foul,null,null
SL,Noah Syndergaard,588751,Foul,null,null
FF,Noah Syndergaard,588751,Called Strike,null,null
SL,Noah Syndergaard,588751,"In play, no out",101.7,-3.83
FF,Noah Syndergaard,543408,Called Strike,null,null
FF,Noah Syndergaard,543408,Swinging Strike,null,null
FF,Noah Syndergaard,543408,Swinging Strike,null,null
SL,Noah Syndergaard,543829,Swinging Strike,null,null
SL,Noah Syndergaard,543829,Swinging Strike,null,null
SI,Noah Syndergaard,543829,Called Strike,null,null
FF,Noah Syndergaard,542303,Ball,null,null
FF,Noah Syndergaard,542303,Foul,null,null
SL,Noah Syndergaard,542303,Called Strike,null,null
SI,Noah Syndergaard,542303,Foul,null,null
SL,Noah Syndergaard,542303,Swinging Strike,null,null
FF,Noah Syndergaard,542303,Ball,null,null
CH,Noah Syndergaard,542303,Foul,null,null
SI,Noah Syndergaard,445988,Called Strike,null,null
SL,Noah Syndergaard,445988,Swinging Strike,null,null
FF,Noah Syndergaard,445988,Called Strike,null,null
SL,Noah Syndergaard,445988,Foul,null,null
FF,Noah Syndergaard,592885,Ball,null,null
FF,Noah Syndergaard,592885,"In play, out(s)",111.2,-1.44
CH,Noah Syndergaard,571506,"In play, no out",83.8,20.14
FF,Noah Syndergaard,571506,Called Strike,null,null
FF,Noah Syndergaard,592663,Foul,null,null
SL,Noah Syndergaard,592663,Ball,null,null
FF,Noah Syndergaard,592663,Foul,null,null
CU,Noah Syndergaard,592663,Foul,null,null
FF,Noah Syndergaard,592663,Foul,null,null
CU,Noah Syndergaard,592663,"In play, out(s)",90.9,5.51
SI,Noah Syndergaard,542513,Ball,null,null
SI,Noah Syndergaard,542513,Called Strike,null,null
FF,Noah Syndergaard,542513,"In play, out(s)",100.8,-9.34
SI,Noah Syndergaard,543829,Called Strike,null,null
SI,Noah Syndergaard,543829,Foul,null,null
FF,Noah Syndergaard,543829,Foul,null,null
CH,Noah Syndergaard,543829,Swinging Strike,null,null
SL,Noah Syndergaard,543829,Foul,null,null
SL,Noah Syndergaard,543829,Foul,null,null
CH,Noah Syndergaard,543829,Ball,null,null
FF,Noah Syndergaard,542303,Called Strike,null,null
SL,Noah Syndergaard,542303,Foul,null,null
SI,Noah Syndergaard,542303,"In play, out(s)",103.5,32.47
CH,Noah Syndergaard,542303,Ball,null,null
SI,Noah Syndergaard,542303,Ball,null,null
FF,Noah Syndergaard,445988,"In play, no out",101.4,-7.03
SL,Noah Syndergaard,445988,Swinging Strike,null,null
CH,Noah Syndergaard,592885,Swinging Strike (Blocked),null,null
SL,Noah Syndergaard,592885,Called Strike,null,null
SI,Noah Syndergaard,592885,Swinging Strike,null,null
CH,Noah Syndergaard,592885,Ball,null,null
SL,Noah Syndergaard,592885,Ball,null,null
SI,Noah Syndergaard,519317,Called Strike,null,null
SL,Noah Syndergaard,519317,Ball,null,null
SL,Noah Syndergaard,519317,Called Strike,null,null
SI,Noah Syndergaard,519317,Ball,null,null
FF,Noah Syndergaard,519317,Swinging Strike,null,null
SI,Noah Syndergaard,543829,"In play, no out",null,null
SI,Noah Syndergaard,543829,Ball,null,null
SL,Noah Syndergaard,588751,Ball,null,null
SL,Noah Syndergaard,588751,Ball,null,null
SI,Noah Syndergaard,588751,"In play, out(s)",104.7,-13.11
SI,Noah Syndergaard,588751,Called Strike,null,null
SI,Noah Syndergaard,588751,Called Strike,null,null
CU,Noah Syndergaard,588751,Ball,null,null
SL,Noah Syndergaard,519317,"In play, out(s)",79.9,-16.7
FF,Noah Syndergaard,542255,Foul,null,null
SL,Noah Syndergaard,542255,Swinging Strike,null,null
SI,Noah Syndergaard,542255,Ball,null,null
FF,Noah Syndergaard,542255,Ball,null,null
FF,Noah Syndergaard,542255,Called Strike,null,null
SI,Noah Syndergaard,611177,Called Strike,null,null
FF,Noah Syndergaard,611177,Ball,null,null
SI,Noah Syndergaard,611177,Called Strike,null,null
SL,Noah Syndergaard,611177,Swinging Strike,null,null
CH,Noah Syndergaard,455976,Ball,null,null
FF,Noah Syndergaard,455976,Foul,null,null
SL,Noah Syndergaard,455976,Foul,null,null
FF,Noah Syndergaard,455976,Foul,null,null
CH,Noah Syndergaard,455976,"In play, no out",93.6,-2.3
SI,Noah Syndergaard,455976,Ball,null,null
SI,Noah Syndergaard,455976,Called Strike,null,null
CH,Noah Syndergaard,455976,Foul,null,null
FF,Noah Syndergaard,455976,Ball,null,null
FF,Noah Syndergaard,452095,Ball,null,null
FF,Noah Syndergaard,452095,Ball,null,null
FF,Noah Syndergaard,452095,Ball,null,null
SL,Noah Syndergaard,452095,Ball,null,null
SI,Noah Syndergaard,452095,Swinging Strike,null,null
SL,Noah Syndergaard,607054,Ball In Dirt,null,null
SL,Noah Syndergaard,607054,Ball,null,null
FF,Noah Syndergaard,607054,Ball,null,null
FF,Noah Syndergaard,607054,Ball,null,null
SI,Noah Syndergaard,607054,Called Strike,null,null
SI,Noah Syndergaard,621020,Ball,null,null
SL,Noah Syndergaard,621020,Swinging Strike,null,null
SI,Noah Syndergaard,621020,"In play, run(s)",98.6,2.05
CH,Noah Syndergaard,542255,Foul,null,null
SL,Noah Syndergaard,542255,"In play, run(s)",81.3,5.52
SL,Noah Syndergaard,542255,Ball,null,null
CH,Noah Syndergaard,542255,Foul,null,null
SI,Noah Syndergaard,611177,Swinging Strike,null,null
FF,Noah Syndergaard,611177,"In play, out(s)",78.9,44.64
SL,Noah Syndergaard,611177,Ball In Dirt,null,null
FF,Noah Syndergaard,611177,Ball,null,null
SI,Noah Syndergaard,611177,Foul,null,null
FF,Noah Syndergaard,518692,Ball,null,null
FF,Noah Syndergaard,518692,Foul,null,null
SI,Noah Syndergaard,518692,"In play, run(s)",105.6,27.45
FF,Noah Syndergaard,518692,Ball,null,null
CH,Noah Syndergaard,518692,Foul,null,null
SI,Noah Syndergaard,518692,Ball,null,null
FF,Noah Syndergaard,461314,Ball,null,null
CH,Noah Syndergaard,461314,Foul,null,null
CH,Noah Syndergaard,461314,Foul,null,null
SL,Noah Syndergaard,461314,Called Strike,null,null
FF,Noah Syndergaard,461314,Swinging Strike,null,null
FF,Noah Syndergaard,455976,Foul,null,null
SL,Noah Syndergaard,455976,Foul,null,null
FF,Noah Syndergaard,455976,Ball,null,null
CU,Noah Syndergaard,455976,Called Strike,null,null
FF,Noah Syndergaard,455976,Called Strike,null,null
FF,Noah Syndergaard,455976,Ball,null,null
FF,Noah Syndergaard,455976,Foul,null,null
CU,Noah Syndergaard,455976,Ball,null,null
FF,Noah Syndergaard,455976,"In play, no out",90.3,14.5
FF,Noah Syndergaard,452095,Foul,null,null
SL,Noah Syndergaard,452095,Ball,null,null
FF,Noah Syndergaard,452095,Foul,null,null
SI,Noah Syndergaard,452095,Called Strike,null,null
FF,Noah Syndergaard,452095,Called Strike,null,null
FF,Noah Syndergaard,452095,Ball,null,null
SI,Noah Syndergaard,607054,Foul,null,null
SI,Noah Syndergaard,607054,Called Strike,null,null
CU,Noah Syndergaard,607054,"In play, out(s)",88.8,-11.79
SL,Noah Syndergaard,621020,Called Strike,null,null
FF,Noah Syndergaard,621020,"In play, no out",97.8,15.23
SI,Noah Syndergaard,621020,Ball,null,null
SL,Noah Syndergaard,621020,Swinging Strike,null,null
FF,Noah Syndergaard,594760,Foul Bunt,null,null
FF,Noah Syndergaard,594760,Foul Bunt,null,null
FF,Noah Syndergaard,594760,Foul Bunt,null,null
FF,Noah Syndergaard,542255,Called Strike,null,null
FF,Noah Syndergaard,542255,Ball,null,null
FF,Noah Syndergaard,542255,Foul,null,null
FF,Noah Syndergaard,542255,Foul,null,null
CU,Noah Syndergaard,542255,Ball In Dirt,null,null
FF,Noah Syndergaard,542255,Foul,null,null
CH,Noah Syndergaard,542255,Ball In Dirt,null,null
FF,Noah Syndergaard,542255,Ball,null,null
SL,Noah Syndergaard,611177,Ball In Dirt,null,null
FF,Noah Syndergaard,611177,"In play, out(s)",85.6,22.66
SL,Noah Syndergaard,611177,Swinging Strike (Blocked),null,null
SL,Noah Syndergaard,461314,Ball In Dirt,null,null
SI,Noah Syndergaard,461314,Ball,null,null
SI,Noah Syndergaard,461314,"In play, no out",81.5,-8.17
FF,Noah Syndergaard,518692,"In play, out(s)",92.9,-16.13
SL,Noah Syndergaard,594760,Ball In Dirt,null,null
SI,Noah Syndergaard,594760,"In play, out(s)",null,null
SI,Noah Syndergaard,594760,Called Strike,null,null
SL,Noah Syndergaard,518692,Ball,null,null
SL,Noah Syndergaard,518692,Foul,null,null
FF,Noah Syndergaard,518692,Foul,null,null
SL,Noah Syndergaard,518692,"In play, run(s)",95.3,24.54
FF,Noah Syndergaard,461314,"In play, out(s)",85.2,34.38
SI,Noah Syndergaard,607208,Ball,null,null
CH,Noah Syndergaard,607208,Ball,null,null
SI,Noah Syndergaard,607208,Foul,null,null
FF,Noah Syndergaard,607208,Ball,null,null
FF,Noah Syndergaard,607208,Foul,null,null
SI,Noah Syndergaard,607208,Foul,null,null
SI,Noah Syndergaard,607208,"In play, out(s)",85.8,-4.39
FF,Noah Syndergaard,150029,Called Strike,null,null
FF,Noah Syndergaard,150029,Ball,null,null
FF,Noah Syndergaard,150029,Ball,null,null
FF,Noah Syndergaard,150029,Called Strike,null,null
SL,Noah Syndergaard,150029,Called Strike,null,null
SI,Noah Syndergaard,547180,Ball,null,null
FF,Noah Syndergaard,547180,Called Strike,null,null
SI,Noah Syndergaard,547180,Foul,null,null
FF,Noah Syndergaard,547180,Ball,null,null
SI,Noah Syndergaard,547180,Ball,null,null
SL,Noah Syndergaard,547180,Ball,null,null
SI,Noah Syndergaard,543685,Called Strike,null,null
SL,Noah Syndergaard,543685,Swinging Strike,null,null
SL,Noah Syndergaard,543685,Swinging Strike,null,null
FF,Noah Syndergaard,467092,"In play, run(s)",103.9,0.87
SI,Noah Syndergaard,467092,Ball,null,null
SI,Noah Syndergaard,475582,"In play, out(s)",102.8,-1.74
SL,Noah Syndergaard,475582,Ball In Dirt,null,null
SI,Noah Syndergaard,457787,Foul,null,null
SL,Noah Syndergaard,457787,Called Strike,null,null
SL,Noah Syndergaard,457787,Foul,null,null
SI,Noah Syndergaard,457787,Swinging Strike,null,null
FF,Noah Syndergaard,595918,Foul,null,null
FF,Noah Syndergaard,595918,Ball,null,null
SL,Noah Syndergaard,595918,Called Strike,null,null
SL,Noah Syndergaard,595918,Swinging Strike,null,null
CH,Noah Syndergaard,607208,Foul,null,null
