pitch_type,player_name,batter,description,hit_speed,hit_angle
FF,Adam Conley,452678,"In play, no out",93,0.44
CH,Adam Conley,493316,"In play, out(s)",null,null
FF,Adam Conley,493316,Called Strike,null,null
CH,Adam Conley,434158,Swinging Strike,null,null
CH,Adam Conley,434158,Foul,null,null
FF,Adam Conley,434158,Called Strike,null,null
FF,Adam Conley,434158,Foul,null,null
CH,Adam Conley,434158,Foul,null,null
FF,Adam Conley,434158,"In play, out(s)",78,26.87
FF,Adam Conley,608061,Foul,null,null
FF,Adam Conley,608061,Ball,null,null
FF,Adam Conley,608061,"In play, out(s)",77.2,60.71
CH,Adam Conley,457803,Swinging Strike,null,null
FF,Adam Conley,457803,"In play, out(s)",100.5,20.69
FF,Adam Conley,457803,Swinging Strike,null,null
SL,Adam Conley,518595,"In play, out(s)",84.3,-30.69
FF,Adam Conley,518595,Called Strike,null,null
FF,Adam Conley,112526,Swinging Strike,null,null
FF,Adam Conley,112526,Swinging Strike,null,null
FF,Adam Conley,112526,Called Strike,null,null
CH,Adam Conley,452678,Ball In Dirt,null,null
CH,Adam Conley,452678,Called Strike,null,null
FF,Adam Conley,452678,Ball,null,null
CH,Adam Conley,452678,Ball,null,null
CH,Adam Conley,452678,Ball,null,null
SL,Adam Conley,493316,Foul,null,null
CH,Adam Conley,493316,Swinging Strike,null,null
SL,Adam Conley,493316,Foul,null,null
SL,Adam Conley,493316,Ball In Dirt,null,null
CH,Adam Conley,493316,Ball,null,null
FF,Adam Conley,493316,Called Strike,null,null
FF,Adam Conley,408314,Ball,null,null
SL,Adam Conley,408314,Ball,null,null
FF,Adam Conley,408314,Called Strike,null,null
SL,Adam Conley,408314,Ball,null,null
FF,Adam Conley,408314,Called Strike,null,null
FF,Adam Conley,408314,Foul,null,null
CH,Adam Conley,408314,"In play, no out",null,null
FF,Adam Conley,493472,Ball,null,null
FF,Adam Conley,493472,Foul,null,null
FF,Adam Conley,493472,Called Strike,null,null
CH,Adam Conley,493472,Ball,null,null
CH,Adam Conley,493472,"In play, out(s)",65,-23.85
FF,Adam Conley,408314,"In play, out(s)",102.7,-18.51
FF,Adam Conley,408314,Called Strike,null,null
FF,Adam Conley,594809,Ball,null,null
FF,Adam Conley,594809,Called Strike,null,null
FF,Adam Conley,594809,Ball,null,null
FF,Adam Conley,594809,Called Strike,null,null
FF,Adam Conley,594809,Ball,null,null
FF,Adam Conley,594809,Ball,null,null
FF,Adam Conley,466320,Called Strike,null,null
FF,Adam Conley,466320,Called Strike,null,null
SL,Adam Conley,466320,Swinging Strike,null,null
