pitch_type,player_name,batter,description,hit_speed,hit_angle
FF,Aroldis Chapman,541608,Foul,null,null
CH,Aroldis Chapman,541608,Swinging Strike,null,null
FF,Aroldis Chapman,541608,Foul,null,null
FF,Aroldis Chapman,573113,Called Strike,null,null
FF,Aroldis Chapman,573113,Foul,null,null
CH,Aroldis Chapman,573113,Ball,null,null
FF,Aroldis Chapman,573113,Foul,null,null
FF,Aroldis Chapman,573113,Ball,null,null
FF,Aroldis Chapman,573113,Ball,null,null
FF,Aroldis Chapman,573113,Foul,null,null
FF,Aroldis Chapman,573113,"In play, out(s)",80.8,23.71
FF,Aroldis Chapman,606299,Ball,null,null
FF,Aroldis Chapman,606299,Ball,null,null
SL,Aroldis Chapman,606299,Ball,null,null
FF,Aroldis Chapman,606299,Called Strike,null,null
FF,Aroldis Chapman,606299,"In play, no out",101.7,-2.75
FF,Aroldis Chapman,474443,Ball,null,null
FF,Aroldis Chapman,474443,Foul (Runner Going),null,null
FF,Aroldis Chapman,474443,Foul (Runner Going),null,null
FF,Aroldis Chapman,474443,Ball,null,null
SL,Aroldis Chapman,474443,Called Strike,null,null
SL,Aroldis Chapman,474443,Swinging Strike,null,null
SL,Aroldis Chapman,474443,Ball In Dirt,null,null
FF,Aroldis Chapman,474443,Ball In Dirt,null,null
FF,Aroldis Chapman,458015,Swinging Strike,null,null
FF,Aroldis Chapman,458015,Swinging Strike,null,null
FF,Aroldis Chapman,458015,Swinging Strike,null,null
FF,Aroldis Chapman,624428,Foul,null,null
FF,Aroldis Chapman,624428,Foul,null,null
SL,Aroldis Chapman,624428,Called Strike,null,null
FF,Aroldis Chapman,624428,Ball,null,null
SL,Aroldis Chapman,624428,Swinging Strike,null,null
FF,Aroldis Chapman,465753,Swinging Strike,null,null
CH,Aroldis Chapman,465753,Ball,null,null
FF,Aroldis Chapman,465753,Foul,null,null
FF,Aroldis Chapman,465753,Ball,null,null
FF,Aroldis Chapman,465753,Foul,null,null
CH,Aroldis Chapman,465753,Foul,null,null
FF,Aroldis Chapman,465753,Called Strike,null,null
CH,Aroldis Chapman,457705,Swinging Strike,null,null
FF,Aroldis Chapman,457705,Swinging Strike,null,null
CH,Aroldis Chapman,457705,Foul,null,null
FF,Aroldis Chapman,457705,Ball,null,null
FF,Aroldis Chapman,444379,Foul,null,null
SL,Aroldis Chapman,444379,Ball,null,null
SL,Aroldis Chapman,444379,Called Strike,null,null
SL,Aroldis Chapman,444379,Swinging Strike,null,null
FF,Aroldis Chapman,444379,Ball,null,null
FF,Aroldis Chapman,605137,Foul,null,null
FF,Aroldis Chapman,605137,"In play, out(s)",null,null
CH,Aroldis Chapman,605137,Swinging Strike,null,null
CH,Aroldis Chapman,605137,Ball,null,null
SL,Aroldis Chapman,595386,Ball,null,null
SL,Aroldis Chapman,595386,Ball,null,null
FF,Aroldis Chapman,595386,Foul,null,null
FF,Aroldis Chapman,595386,Foul,null,null
FF,Aroldis Chapman,595386,"In play, out(s)",null,null
SL,Aroldis Chapman,595386,Called Strike,null,null
FF,Aroldis Chapman,595386,Ball,null,null
FF,Aroldis Chapman,425877,Called Strike,null,null
FF,Aroldis Chapman,425877,"In play, out(s)",93,-13.74
FF,Aroldis Chapman,425877,Ball,null,null
FF,Aroldis Chapman,425877,Ball,null,null
FF,Aroldis Chapman,576397,Ball,null,null
FF,Aroldis Chapman,576397,Ball,null,null
FF,Aroldis Chapman,576397,"In play, out(s)",99.1,32.95
FF,Aroldis Chapman,576397,Ball,null,null
FF,Aroldis Chapman,576397,Called Strike,null,null
FF,Aroldis Chapman,545341,Ball,null,null
FF,Aroldis Chapman,545341,Ball,null,null
FF,Aroldis Chapman,545341,Ball,null,null
FF,Aroldis Chapman,545341,Ball,null,null
FF,Aroldis Chapman,500874,Ball,null,null
