pitch_type,player_name,batter,description,hit_speed,hit_angle
FF,Joe Kelly,429665,Foul,null,null
FF,Joe Kelly,429665,Foul Tip,null,null
SL,Joe Kelly,429665,Called Strike,null,null
SL,Joe Kelly,429665,Ball,null,null
FF,Joe Kelly,430832,Foul,null,null
SL,Joe Kelly,430832,Called Strike,null,null
FF,Joe Kelly,430832,Foul Tip,null,null
SL,Joe Kelly,431145,Called Strike,null,null
SL,Joe Kelly,431145,Swinging Strike,null,null
SL,Joe Kelly,431145,Foul,null,null
FF,Joe Kelly,431145,Ball,null,null
SL,Joe Kelly,453064,Foul,null,null
SL,Joe Kelly,453064,Called Strike,null,null
SL,Joe Kelly,453064,Called Strike,null,null
SL,Joe Kelly,453064,Ball,null,null
SL,Joe Kelly,453064,Ball,null,null
FF,Joe Kelly,518626,Foul,null,null
SL,Joe Kelly,518626,Ball,null,null
FF,Joe Kelly,518626,"In play, out(s)",102.3,8.43
CU,Joe Kelly,518626,Ball,null,null
SL,Joe Kelly,518626,Foul,null,null
FF,Joe Kelly,581527,"In play, out(s)",99.2,-4.61
FF,Joe Kelly,581527,Called Strike,null,null
FT,Joe Kelly,581527,Ball,null,null
CU,Joe Kelly,516770,Swinging Strike (Blocked),null,null
CU,Joe Kelly,516770,Foul,null,null
FF,Joe Kelly,516770,Called Strike,null,null
FF,Joe Kelly,544369,Foul,null,null
FF,Joe Kelly,544369,"In play, out(s)",null,null
CU,Joe Kelly,544369,Foul,null,null
FF,Joe Kelly,407893,"In play, run(s)",107.1,29.64
CU,Joe Kelly,407893,Called Strike,null,null
FF,Joe Kelly,545338,Ball,null,null
FF,Joe Kelly,545338,Foul,null,null
SL,Joe Kelly,545338,"In play, out(s)",77.8,-0.62
FF,Joe Kelly,572816,"In play, out(s)",null,null
SL,Joe Kelly,592200,Ball,null,null
FF,Joe Kelly,592200,Foul,null,null
FF,Joe Kelly,592200,Called Strike,null,null
SL,Joe Kelly,592200,Swinging Strike,null,null
CU,Joe Kelly,592200,Ball,null,null
FF,Joe Kelly,571912,Foul,null,null
FF,Joe Kelly,571912,Called Strike,null,null
FF,Joe Kelly,571912,Swinging Strike,null,null
SL,Joe Kelly,572128,Ball,null,null
FF,Joe Kelly,572128,Foul Bunt,null,null
FF,Joe Kelly,572128,"In play, no out",93.3,-1.11
FF,Joe Kelly,523253,Swinging Strike,null,null
FF,Joe Kelly,523253,Called Strike,null,null
FF,Joe Kelly,523253,Swinging Strike,null,null
FF,Joe Kelly,523253,Ball,null,null
FF,Joe Kelly,543094,Called Strike,null,null
FF,Joe Kelly,543094,Ball,null,null
FF,Joe Kelly,543094,Ball,null,null
FF,Joe Kelly,543094,Foul,null,null
FF,Joe Kelly,543094,Called Strike,null,null
FF,Joe Kelly,543094,Ball,null,null
CU,Joe Kelly,543094,Foul,null,null
FF,Joe Kelly,543094,Swinging Strike,null,null
FF,Joe Kelly,446334,Ball,null,null
FF,Joe Kelly,446334,"In play, no out",101.9,9.42
FF,Joe Kelly,446334,Foul Tip,null,null
FF,Joe Kelly,446334,Foul,null,null
FF,Joe Kelly,446334,Ball,null,null
FF,Joe Kelly,543543,"In play, out(s)",101.7,14.68
FF,Joe Kelly,523253,Called Strike,null,null
FT,Joe Kelly,523253,Ball,null,null
CU,Joe Kelly,523253,Ball,null,null
FF,Joe Kelly,523253,"In play, out(s)",98.4,-2.68
CU,Joe Kelly,595281,Ball,null,null
FF,Joe Kelly,595281,"In play, out(s)",105.4,-9.4
FF,Joe Kelly,446334,Called Strike,null,null
FF,Joe Kelly,446334,Ball,null,null
SL,Joe Kelly,446334,Ball,null,null
SL,Joe Kelly,446334,Foul,null,null
FF,Joe Kelly,446334,"In play, out(s)",null,null
FF,Joe Kelly,456781,Ball,null,null
FF,Joe Kelly,456781,Called Strike,null,null
CU,Joe Kelly,456781,"In play, out(s)",null,null
CU,Joe Kelly,592863,"In play, no out",100.7,0.53
FF,Joe Kelly,608701,Foul,null,null
FF,Joe Kelly,608701,Ball,null,null
FF,Joe Kelly,608701,"In play, out(s)",73.5,-21.78
SL,Joe Kelly,516770,"In play, no out",106.8,18.64
FF,Joe Kelly,435263,Called Strike,null,null
FF,Joe Kelly,435263,Ball,null,null
CU,Joe Kelly,435263,Ball,null,null
FF,Joe Kelly,435263,Swinging Strike,null,null
FF,Joe Kelly,435263,Ball,null,null
FF,Joe Kelly,435263,Swinging Strike,null,null
FF,Joe Kelly,544369,Ball,null,null
FF,Joe Kelly,544369,Ball,null,null
FF,Joe Kelly,544369,Ball,null,null
FF,Joe Kelly,544369,Foul,null,null
FF,Joe Kelly,544369,Ball,null,null
FF,Joe Kelly,452104,Foul,null,null
FF,Joe Kelly,452104,Swinging Strike,null,null
CU,Joe Kelly,452104,Ball,null,null
FF,Joe Kelly,452104,Foul,null,null
FF,Joe Kelly,452104,Ball,null,null
FF,Joe Kelly,452104,Ball,null,null
FF,Joe Kelly,592863,Called Strike,null,null
FF,Joe Kelly,592863,"In play, out(s)",90.5,5.12
FF,Joe Kelly,592863,Ball,null,null
SL,Joe Kelly,596142,Ball,null,null
FF,Joe Kelly,596142,Swinging Strike,null,null
FF,Joe Kelly,596142,"In play, no out",91.3,14.84
FF,Joe Kelly,596142,Ball,null,null
SL,Joe Kelly,596142,Called Strike,null,null
SL,Joe Kelly,596142,Ball,null,null
FF,Joe Kelly,570731,Called Strike,null,null
FF,Joe Kelly,570731,Ball,null,null
FF,Joe Kelly,570731,Ball,null,null
FF,Joe Kelly,570731,"In play, no out",89,2.19
FF,Joe Kelly,592518,Foul,null,null
CU,Joe Kelly,592518,Swinging Strike (Blocked),null,null
SL,Joe Kelly,592518,Called Strike,null,null
FF,Joe Kelly,592518,Ball,null,null
FF,Joe Kelly,444432,"In play, out(s)",null,null
FF,Joe Kelly,448801,Ball,null,null
FF,Joe Kelly,448801,Ball,null,null
FF,Joe Kelly,448801,Ball,null,null
FF,Joe Kelly,448801,Ball,null,null
FF,Joe Kelly,448801,Called Strike,null,null
